VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
392491.8	0.171700	0.213500	0.201600	0.254400	0.171300	0.180800	0.205900	0.211700	0.143800	0.106800	0.238800	0.214200	0.178400	0.113900	0.190500	0.218000	0.090600	0.109200	0.203900	0.179500	0.230200
397656.1	0.185300	0.217400	0.222500	0.259700	0.176500	0.178300	0.201600	0.207400	0.156100	0.116800	0.232400	0.213500	0.181800	0.124500	0.189200	0.210600	0.095200	0.117500	0.194300	0.170800	0.228200
402820.5	0.239700	0.226500	0.246400	0.257300	0.172900	0.179900	0.204100	0.208000	0.149800	0.112100	0.237500	0.213900	0.179500	0.117700	0.189400	0.211800	0.093700	0.113900	0.197800	0.174600	0.232100
407984.9	0.242500	0.224400	0.242100	0.254600	0.173100	0.180200	0.202700	0.210200	0.142500	0.104100	0.240200	0.211300	0.175100	0.110400	0.188300	0.211400	0.090200	0.107500	0.199700	0.176000	0.231700
413149.2	0.213000	0.216500	0.229800	0.254500	0.171900	0.179800	0.201500	0.209900	0.144300	0.106500	0.243500	0.210500	0.175100	0.112200	0.187300	0.208700	0.090400	0.107800	0.198000	0.174700	0.232000
418313.6	0.193600	0.211300	0.229400	0.250200	0.168400	0.178700	0.200300	0.209800	0.136200	0.101100	0.250500	0.208300	0.173100	0.107800	0.186200	0.209400	0.088900	0.104600	0.197500	0.176200	0.233900
423478.0	0.182200	0.205300	0.223200	0.253400	0.170800	0.176900	0.197800	0.206100	0.145500	0.107800	0.259400	0.209400	0.174600	0.114500	0.185800	0.204100	0.092700	0.109400	0.193100	0.171100	0.236300
428642.3	0.174200	0.202400	0.222400	0.252200	0.170300	0.177200	0.198500	0.206300	0.143700	0.107400	0.301400	0.210400	0.175600	0.114800	0.186000	0.204600	0.093300	0.110100	0.194700	0.172900	0.239900
433806.7	0.169900	0.200900	0.220800	0.244700	0.166800	0.174000	0.195000	0.207000	0.135900	0.100200	0.373000	0.208000	0.170100	0.107600	0.184200	0.205500	0.088400	0.102000	0.194000	0.173700	0.237200
438971.0	0.167200	0.198900	0.220200	0.244600	0.167700	0.173700	0.195000	0.206100	0.139200	0.105800	0.362400	0.209200	0.171900	0.113100	0.185500	0.205700	0.091900	0.107700	0.194100	0.172900	0.241800
444135.4	0.164400	0.194800	0.221000	0.245500	0.167100	0.171900	0.191600	0.200400	0.143900	0.108100	0.329900	0.208400	0.173300	0.115000	0.184200	0.198000	0.092500	0.108100	0.186600	0.166600	0.239400
449299.8	0.161800	0.194500	0.215700	0.244900	0.165100	0.174600	0.195400	0.206600	0.136900	0.102200	0.325200	0.210800	0.170900	0.109800	0.185500	0.204200	0.091000	0.105600	0.195300	0.176200	0.243500
454464.1	0.158900	0.192000	0.208500	0.240100	0.162800	0.171800	0.192800	0.206500	0.132200	0.096200	0.311600	0.209900	0.167500	0.103800	0.183600	0.203900	0.088200	0.100500	0.194700	0.175300	0.240500
459628.5	0.157600	0.189500	0.208800	0.241900	0.165000	0.172500	0.191900	0.200800	0.140200	0.103700	0.309400	0.209100	0.169200	0.110300	0.182900	0.197400	0.091000	0.105200	0.188600	0.169000	0.238000
464792.9	0.157700	0.188600	0.211100	0.241700	0.164700	0.172500	0.191900	0.202300	0.138600	0.102200	0.305900	0.209100	0.168300	0.108600	0.183500	0.197600	0.091700	0.105100	0.189400	0.170200	0.236100
469957.2	0.158700	0.188700	0.213500	0.237500	0.162500	0.173200	0.193100	0.204500	0.134500	0.100100	0.308800	0.208000	0.167100	0.106800	0.182600	0.200200	0.090800	0.103000	0.192200	0.172900	0.232600
475121.6	0.157100	0.185900	0.216900	0.240900	0.165500	0.172100	0.190800	0.199800	0.143800	0.107800	0.299700	0.208100	0.170400	0.114700	0.183400	0.193700	0.094100	0.109600	0.186200	0.166300	0.234500
480286.0	0.157800	0.185500	0.211200	0.238600	0.163800	0.173400	0.191900	0.202300	0.138600	0.103700	0.302700	0.207100	0.167800	0.109000	0.183900	0.196100	0.091800	0.105200	0.189100	0.169500	0.235500
